node_1,node_2,area,d,conductance
549,400,1127.2771185273973,134.14200913198093,8.403609919233288
381,493,1396.417060810953,114.59257790704149,12.18592937095576
381,505,1052.0886173060999,127.96274464032378,8.221835349525353
381,400,191.47228179478316,189.57636161640767,1.0100008258530235
381,502,1256.9797802148764,114.59257790704149,10.96912036689278
381,420,1250.5126494549697,127.96274464032378,9.772474425817423
493,425,3170.5348891882745,203.09328996431287,15.611224229738927
493,445,1250.5126494549697,127.96274464032378,9.772474425817423
493,505,582.3007724526115,133.28526334896782,4.368830865630134
493,420,2952.8134996748236,203.09328996431287,14.53919772629458
502,420,4126.809362716664,133.28526334896782,30.96223287575192
502,400,318.65189546537545,188.29724871997468,1.6922812076731777
677,281,3620.1505808750953,197.71329149182034,18.310102237233078
677,715,2982.080802216114,232.59074713764204,12.821149761608465
677,198,818.1896635817822,220.15835206575517,3.716368949461484
677,580,301.34493880760897,220.56003458138545,1.3662717245195857
677,599,1879.1628275551325,145.60150658122822,12.906204555697949
684,636,28984.79855824657,625.0,46.37567769319451
684,462,26061.848821600997,1250.0,20.8494790572808
684,363,4641.324370665214,730.3342341206205,6.355068890141417
684,679,3625.072928994396,585.4970728107877,6.191445008583149
684,614,2121.7356600180647,653.4621003454293,3.246914639573565
684,608,313.6898123213598,648.012766299863,0.48407967965279597
636,695,3943.6008403592855,635.0221327884719,6.210178569749021
636,614,1953.7389454134482,689.7609061028755,2.832487211332407
636,562,735.4921989685699,689.1398174551038,1.0672612151256025
462,425,2838.669948828403,663.7994116119413,4.27639720549782
462,363,1670.396588100336,963.3418256405944,1.7339604111858953
462,375,1271.2545309723587,649.3959916603405,1.9575952843843152
462,508,3098.623321264544,657.4711448660784,4.712941922182317
462,405,1406.0318922836186,737.7645523476943,1.9058002825012155
462,501,522.8200310865988,665.9179248865851,0.7851118156575259
563,725,4095.4549113455273,924.4969049532273,4.429928201385084
563,626,429.33791091256774,903.5904368077431,0.4751465856913644
563,693,1121.6403909245766,896.6904518526866,1.2508668834458005
563,670,1130.4912367903626,903.7662214512877,1.2508668834458039
678,593,727.0179584598245,203.35020779783443,3.5752014533597487
678,591,1606.210713146996,144.3527955405489,11.12698030635513
678,705,867.6312396251246,184.81385216302678,4.6946223428088905
678,443,1631.3634950181904,122.76209147082737,13.28882129224607
678,471,618.2614692484865,199.84209068417223,3.0937500059763616
678,721,618.2614692484862,199.84209068417215,3.0937500059763616
593,471,1262.1016709866128,144.3527955405489,8.743174430813754
593,591,818.535089145996,199.84209068417223,4.095909356951224
593,673,1262.1016709866128,144.3527955405489,8.743174430813754
593,630,428.9060811756217,165.6056459830707,2.5899242663469777
593,389,1167.2619101201797,125.059308242091,9.333666774012398
722,638,1181.0753765422337,120.50915722974159,9.800710615630669
722,575,1273.2752109448468,144.25769829808965,8.826393502506813
722,724,769.9986620662289,120.50915722974159,6.3895448260274925
722,686,764.5696954862171,102.4647496761303,7.461782690172596
722,568,710.5537684430883,106.28182601114904,6.685562293298863
724,669,961.1482203144503,217.83240870601136,4.412328845023354
724,554,2111.697723887076,135.5968242300286,15.573356794144075
724,575,845.0441464487728,155.26640186473742,5.4425435013619055
724,686,1321.6886589825249,106.28182601114918,12.435697697213794
686,568,426.87657964900154,120.50915722974165,3.5422750391921953
686,720,1152.46621852593,106.28182601114905,10.843492832020361
686,669,1076.2057834728944,174.16626922584814,6.179186063159777
208,577,780.1786071684631,175.33385218271815,4.449674706031251
208,707,1374.2874187253146,195.2158561213273,7.03983501151254
208,189,851.3740202375234,167.42443342416482,5.0851240934505215
208,346,1752.439504017414,173.59723328373198,10.09485848863259
224,314,753.2489838558503,193.78235305158142,3.8870876114057133
224,245,513.2547422090613,201.47242085954483,2.5475186133136973
224,278,513.2547422090616,201.47242085954477,2.5475186133137
224,176,753.2489838558514,193.78235305158137,3.8870876114057205
224,199,1691.8942038261137,120.83203508011638,14.002033506299231
224,201,1691.8942038261137,120.83203508011628,14.002033506299242
314,245,1307.786276692542,120.83203508011627,10.82317512756803
314,349,562.9916074428729,141.28907295163054,3.984679039090374
314,341,1307.7862766925405,120.8320350801163,10.823175127568014
314,182,780.5774055133857,130.5342360304843,5.979867268929307
314,201,513.2547422090613,201.4724208595448,2.5475186133136978
90,16,24817.206297630015,625.0,39.70753007620802
90,88,22783.153420056664,883.8834764831844,25.77619564821688
90,156,5800.6770839422825,566.1237295665616,10.246306206566231
88,173,2349.616545686763,780.3255689604679,3.011072094967834
88,44,1629.2722433222584,812.6025697001742,2.0050050345317154
88,156,216.73983607712867,871.8241291558484,0.24860499822021329
61,14,1071.7371665826458,143.03280031690724,7.492946822044152
61,45,1273.9861041669835,125.35621872382943,10.162927034148062
61,165,665.1627880506691,177.1218337854969,3.75539691428564
61,70,50.833018495155585,247.9263900609542,0.2050327054036401
61,162,1003.5755745424829,177.12183378549702,5.666018429765472
503,547,1158.142989597843,158.5506008065082,7.304563866088507
503,497,156.76918884903895,198.5746602498256,0.7894722753235915
503,542,1266.2974600432362,121.73149794945888,10.402381317684796
503,153,1416.197474191852,121.73149794945887,11.633780065532722
503,63,1259.0031380370856,115.22231362816454,10.92673023473588
65,404,1204.755209388847,160.79565544059554,7.492461199201571
65,172,1446.2559707460032,115.22231362816454,12.551874070271102
65,542,1494.0135595309218,115.2223136281645,12.966356189932736
65,63,1191.682160109303,121.73149794945884,9.78943149622682
42,107,810.4156455224195,172.38952605046902,4.701072414835464
42,119,1249.9708077435341,128.6251284768868,9.717936320414612
42,70,615.6828321603834,151.04904765326205,4.076045772719489
42,120,441.01765719306263,181.74700329525535,2.426547063758799
42,128,689.6646790656068,155.64276179260253,4.431074539685953
721,705,1607.8767164677997,122.76209147082737,13.097501820013292
721,591,48.09102736664379,203.3502077978343,0.23649362293474857
721,709,1867.9981341856756,127.51958944309547,14.648715090313663
721,632,1774.7455268476488,129.4169580048843,13.713392388504978
634,547,1032.402178885226,173.62259218996985,5.946243319277362
634,497,250.9309169688515,216.41968891107652,1.1594643640392401
634,463,1370.2645668444661,160.5179843774932,8.536517401202776
634,577,838.108810789605,175.33385218271818,4.780074129188689
634,705,1669.8990419649153,122.7620914708274,13.60272558049194
634,443,871.6207979550471,184.81385216302684,4.7162092438080805
547,497,1006.9725499867147,198.40194473012943,5.075416732212077
547,153,512.5597000074076,173.62259218996985,2.952148643458729
547,577,1506.2962993384876,103.39656748951148,14.568146079813394
577,707,1538.3541034419184,151.50609988376982,10.153743675152947
577,705,484.4230744769748,210.2274515132353,2.3042807729916137
705,632,317.40235385066444,196.04336765960312,1.6190415296363463
705,707,625.0794301231163,216.3103738943059,2.8897339451160304
705,443,417.98784935097666,199.84209068417215,2.0915906550014993
126,149,1435.1663972284152,139.39176627385302,10.295919447701428
126,166,1468.610797281119,170.64939170893285,8.606012494823576
126,34,1927.8076901738484,139.39176627385302,13.830140342625565
126,77,1394.2457287713623,156.4669371124759,8.910800930225355
58,99,939.7746460404678,435.3837074587747,2.158497504478742
58,6,2259.972962367428,196.62084384659542,11.494066031629233
58,163,4147.460793377764,160.40970663139097,25.855422844879996
58,94,1478.3367216279523,141.9433372618481,10.414977906999681
