,x,y,b,h,K,Ss,Q,q,fixed,track,quad,vor_region,sum_conduct,plan_area,vol
33,-1433.90521975,204.833771755,10.0,14.998642072805946,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,441,41.77084231971142,14804.988096982026,148049.88096982025
34,-534.515632,882.8361626999999,10.0,14.992046551089096,0.9999999999999999,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,366,41.23682584454557,25542.96699724259,255429.6699724259
35,-1454.8386575,64.22536969000001,10.0,14.998667296558963,1.0,5e-05,0.0,0.0,0.0,0,0.0,438,38.31623393533446,19459.82621615802,194598.2621615802
36,-1887.472374,639.940046525,10.0,14.999947765025462,1.0,5e-05,0.0,0.0,0.0,0,0.0,251,56.025001510172196,72167.76351052235,721677.6351052234
37,-1307.9825745,707.62177145,10.0,14.998919091038168,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,192,40.99900914519505,21054.628166600858,210546.28166600858
38,-1433.486353,672.19029705,10.0,14.999336961740697,1.0,5e-05,0.0,0.0,0.0,0,0.0,58,38.72189333896784,20788.918814150034,207889.18814150034
39,-780.9480905,419.1142764,10.0,14.985813257938894,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,188,37.666464258762645,30725.80535186528,307258.0535186528
40,-1098.382961,-2.272117729999998,10.0,14.993305737956995,1.0,5e-05,0.0,0.0,0.0,0,0.0,574,35.42952381072906,22454.40205228761,224544.0205228761
41,-1476.8805595,924.30318715,10.0,14.99971087486236,1.0,4.9999999999999996e-05,0.0,0.0,0.0,0,0.0,468,39.362575935997754,18288.53841260029,182885.3841260029
42,-530.8455993499999,292.89724988,10.0,14.960619680635102,0.9999999999999999,5e-05,0.0,0.0,0.0,0,0.0,50,38.5834014732056,18098.01660285395,180980.1660285395
43,-1288.1769450000002,915.4946456499999,10.0,14.999335219502266,1.0,5e-05,0.0,0.0,0.0,0,0.0,549,42.42291308385906,18114.761468426594,181147.61468426592
44,-1688.1167775,1840.815657,10.0,14.999997979772527,1.0,5e-05,0.0,0.0,0.0,0,0.0,540,77.20076259068742,78921.36011851436,789213.6011851437
45,-985.8465175,96.07691700000001,10.0,14.989896158032309,1.0,5e-05,0.0,0.0,0.0,0,0.0,578,36.40259031105672,18490.264354598155,184902.64354598155
46,-1309.9928565,1555.1035535,10.0,14.999939882314603,1.0,5e-05,0.0,0.0,0.0,0,0.0,252,40.02557923819976,27188.93259851377,271889.3259851377
47,-182.7072488,1750.096243,10.0,14.999709425651986,1.0,5e-05,0.0,0.0,0.0,0,0.0,380,36.503927997823965,19505.694304245044,195056.94304245044
48,-1610.4775490000002,857.1838496,10.0,14.99981506211142,1.0,5.000000000000001e-05,0.0,0.0,0.0,0,0.0,589,34.475193458483545,21155.11598752818,211551.1598752818
49,-1476.6940515000001,1963.8225320000001,10.0,14.999996538776662,1.0,5e-05,0.0,0.0,0.0,0,0.0,536,60.764253433948205,60967.969504710694,609679.695047107
